    711    12   257     datakind beginning-row linenumbers
 ----------------------------------------------------------------
                     David A. Shirley's group
               Pennsylvania State University (PSU)
           Lawrence Berkeley National Laboratory (LBNL)
      Copyright (c) 1995-1996 DAS group. All rights reserved
 ----------------------------------------------------------------

         1              1 phase shift data

         k   p(l=0)   p(l=1)   p(l=2)   p(l=3)   p(l=4)   p(l=5)   p(l=6)   p(l=7)  p(l=08)  p(l=09)
        10              lnum
    5.0000   1.3770  -0.7950   2.8104   0.1148   0.0061   0.0003   0.0000   0.0000   0.0000   0.0000
    5.0500   1.3652  -0.8031   2.8085   0.1226   0.0066   0.0003   0.0000   0.0000   0.0000   0.0000
    5.1000   1.3534  -0.8110   2.8067   0.1308   0.0071   0.0004   0.0000   0.0000   0.0000   0.0000
    5.1500   1.3417  -0.8189   2.8051   0.1394   0.0077   0.0004   0.0000   0.0000   0.0000   0.0000
    5.2000   1.3301  -0.8266   2.8036   0.1486   0.0083   0.0005   0.0000   0.0000   0.0000   0.0000
    5.2500   1.3186  -0.8342   2.8024   0.1582   0.0090   0.0005   0.0000   0.0000   0.0000   0.0000
    5.3000   1.3072  -0.8418   2.8013   0.1683   0.0097   0.0006   0.0000   0.0000   0.0000   0.0000
    5.3500   1.2959  -0.8492   2.8004   0.1790   0.0104   0.0006   0.0000   0.0000   0.0000   0.0000
    5.4000   1.2846  -0.8565   2.7997   0.1901   0.0112   0.0007   0.0000   0.0000   0.0000   0.0000
    5.4500   1.2734  -0.8637   2.7992   0.2019   0.0121   0.0007   0.0000   0.0000   0.0000   0.0000
    5.5000   1.2623  -0.8709   2.7989   0.2142   0.0130   0.0008   0.0000   0.0000   0.0000   0.0000
    5.5500   1.2513  -0.8779   2.7988   0.2271   0.0139   0.0009   0.0000   0.0000   0.0000   0.0000
    5.6000   1.2403  -0.8849   2.7988   0.2406   0.0150   0.0009   0.0000   0.0000   0.0000   0.0000
    5.6500   1.2294  -0.8917   2.7991   0.2547   0.0160   0.0010   0.0001   0.0000   0.0000   0.0000
    5.7000   1.2185  -0.8985   2.7996   0.2694   0.0172   0.0011   0.0001   0.0000   0.0000   0.0000
    5.7500   1.2077  -0.9052   2.8002   0.2848   0.0184   0.0012   0.0001   0.0000   0.0000   0.0000
    5.8000   1.1970  -0.9119   2.8011   0.3008   0.0197   0.0013   0.0001   0.0000   0.0000   0.0000
    5.8500   1.1863  -0.9184   2.8021   0.3174   0.0210   0.0014   0.0001   0.0000   0.0000   0.0000
    5.9000   1.1756  -0.9249   2.8034   0.3346   0.0225   0.0016   0.0001   0.0000   0.0000   0.0000
    5.9500   1.1650  -0.9314   2.8048   0.3525   0.0240   0.0017   0.0001   0.0000   0.0000   0.0000
    6.0000   1.1545  -0.9377   2.8064   0.3710   0.0256   0.0019   0.0001   0.0000   0.0000   0.0000
    6.0500   1.1439  -0.9440   2.8082   0.3901   0.0272   0.0020   0.0001   0.0000   0.0000   0.0000
    6.1000   1.1334  -0.9503   2.8102   0.4097   0.0290   0.0022   0.0001   0.0000   0.0000   0.0000
    6.1500   1.1230  -0.9565   2.8123   0.4300   0.0309   0.0023   0.0001   0.0000   0.0000   0.0000
    6.2000   1.1126  -0.9627   2.8146   0.4507   0.0329   0.0025   0.0002   0.0000   0.0000   0.0000
    6.2500   1.1021  -0.9688   2.8171   0.4720   0.0349   0.0027   0.0002   0.0000   0.0000   0.0000
    6.3000   1.0918  -0.9749   2.8197   0.4937   0.0371   0.0029   0.0002   0.0000   0.0000   0.0000
    6.3500   1.0814  -0.9810   2.8225   0.5159   0.0394   0.0032   0.0002   0.0000   0.0000   0.0000
    6.4000   1.0711  -0.9870   2.8254   0.5384   0.0418   0.0034   0.0002   0.0000   0.0000   0.0000
    6.4500   1.0607  -0.9930   2.8284   0.5613   0.0443   0.0037   0.0002   0.0000   0.0000   0.0000
    6.5000   1.0504  -0.9990   2.8316   0.5844   0.0469   0.0040   0.0003   0.0000   0.0000   0.0000
    6.5500   1.0401  -1.0050   2.8349   0.6077   0.0497   0.0043   0.0003   0.0000   0.0000   0.0000
    6.6000   1.0298  -1.0110   2.8383   0.6312   0.0526   0.0046   0.0003   0.0000   0.0000   0.0000
    6.6500   1.0195  -1.0170   2.8417   0.6548   0.0556   0.0049   0.0004   0.0000   0.0000   0.0000
    6.7000   1.0092  -1.0230   2.8453   0.6784   0.0588   0.0053   0.0004   0.0000   0.0000   0.0000
    6.7500   0.9989  -1.0289   2.8489   0.7020   0.0621   0.0056   0.0004   0.0000   0.0000   0.0000
    6.8000   0.9886  -1.0349   2.8526   0.7254   0.0656   0.0060   0.0005   0.0000   0.0000   0.0000
    6.8500   0.9783  -1.0409   2.8563   0.7487   0.0692   0.0065   0.0005   0.0000   0.0000   0.0000
    6.9000   0.9680  -1.0469   2.8601   0.7718   0.0730   0.0069   0.0005   0.0000   0.0000   0.0000
    6.9500   0.9577  -1.0529   2.8639   0.7946   0.0770   0.0074   0.0006   0.0000   0.0000   0.0000
    7.0000   0.9474  -1.0590   2.8677   0.8170   0.0811   0.0079   0.0006   0.0000   0.0000   0.0000
    7.0500   0.9371  -1.0651   2.8716   0.8391   0.0854   0.0084   0.0007   0.0000   0.0000   0.0000
    7.1000   0.9267  -1.0712   2.8754   0.8607   0.0898   0.0090   0.0007   0.0000   0.0000   0.0000
    7.1500   0.9164  -1.0773   2.8792   0.8818   0.0945   0.0096   0.0008   0.0001   0.0000   0.0000
    7.2000   0.9060  -1.0835   2.8829   0.9024   0.0993   0.0102   0.0009   0.0001   0.0000   0.0000
    7.2500   0.8956  -1.0897   2.8866   0.9225   0.1043   0.0108   0.0009   0.0001   0.0000   0.0000
    7.3000   0.8852  -1.0959   2.8903   0.9420   0.1095   0.0115   0.0010   0.0001   0.0000   0.0000
    7.3500   0.8748  -1.1022   2.8939   0.9609   0.1149   0.0123   0.0011   0.0001   0.0000   0.0000
    7.4000   0.8643  -1.1086   2.8974   0.9791   0.1205   0.0130   0.0012   0.0001   0.0000   0.0000
    7.4500   0.8538  -1.1149   2.9009   0.9968   0.1263   0.0138   0.0013   0.0001   0.0000   0.0000
    7.5000   0.8433  -1.1214   2.9042   1.0138   0.1323   0.0147   0.0014   0.0001   0.0000   0.0000
    7.5500   0.8328  -1.1279   2.9075   1.0302   0.1385   0.0156   0.0015   0.0001   0.0000   0.0000
    7.6000   0.8223  -1.1344   2.9106   1.0459   0.1450   0.0165   0.0016   0.0001   0.0000   0.0000
    7.6500   0.8117  -1.1410   2.9136   1.0610   0.1516   0.0175   0.0017   0.0001   0.0000   0.0000
    7.7000   0.8011  -1.1476   2.9165   1.0755   0.1585   0.0185   0.0018   0.0001   0.0000   0.0000
    7.7500   0.7905  -1.1544   2.9192   1.0894   0.1655   0.0196   0.0019   0.0002   0.0000   0.0000
    7.8000   0.7799  -1.1611   2.9218   1.1026   0.1728   0.0208   0.0021   0.0002   0.0000   0.0000
    7.8500   0.7692  -1.1680   2.9243   1.1152   0.1803   0.0219   0.0022   0.0002   0.0000   0.0000
    7.9000   0.7585  -1.1749   2.9265   1.1273   0.1880   0.0232   0.0024   0.0002   0.0000   0.0000
    7.9500   0.7478  -1.1818   2.9287   1.1387   0.1960   0.0245   0.0026   0.0002   0.0000   0.0000
    8.0000   0.7371  -1.1888   2.9306   1.1496   0.2041   0.0258   0.0027   0.0002   0.0000   0.0000
    8.0500   0.7263  -1.1959   2.9324   1.1600   0.2125   0.0273   0.0029   0.0002   0.0000   0.0000
    8.1000   0.7155  -1.2030   2.9341   1.1699   0.2211   0.0288   0.0031   0.0003   0.0000   0.0000
    8.1500   0.7047  -1.2103   2.9355   1.1792   0.2298   0.0303   0.0033   0.0003   0.0000   0.0000
    8.2000   0.6939  -1.2175   2.9368   1.1881   0.2388   0.0319   0.0036   0.0003   0.0000   0.0000
    8.2500   0.6830  -1.2249   2.9379   1.1965   0.2480   0.0336   0.0038   0.0003   0.0000   0.0000
    8.3000   0.6721  -1.2323   2.9388   1.2045   0.2574   0.0354   0.0040   0.0004   0.0000   0.0000
    8.3500   0.6612  -1.2397   2.9396   1.2120   0.2670   0.0372   0.0043   0.0004   0.0000   0.0000
    8.4000   0.6503  -1.2472   2.9402   1.2191   0.2767   0.0391   0.0046   0.0004   0.0000   0.0000
    8.4500   0.6394  -1.2548   2.9405   1.2259   0.2867   0.0411   0.0049   0.0005   0.0000   0.0000
    8.5000   0.6284  -1.2625   2.9407   1.2323   0.2968   0.0432   0.0052   0.0005   0.0000   0.0000
    8.5500   0.6174  -1.2702   2.9408   1.2383   0.3070   0.0454   0.0055   0.0005   0.0000   0.0000
    8.6000   0.6064  -1.2779   2.9406   1.2440   0.3174   0.0476   0.0059   0.0006   0.0000   0.0000
    8.6500   0.5953  -1.2858   2.9403   1.2494   0.3280   0.0499   0.0062   0.0006   0.0000   0.0000
    8.7000   0.5843  -1.2936   2.9398   1.2545   0.3387   0.0523   0.0066   0.0007   0.0001   0.0000
    8.7500   0.5732  -1.3016   2.9391   1.2593   0.3495   0.0548   0.0070   0.0007   0.0001   0.0000
    8.8000   0.5621  -1.3096   2.9383   1.2638   0.3604   0.0574   0.0074   0.0008   0.0001   0.0000
    8.8500   0.5510  -1.3176   2.9373   1.2682   0.3713   0.0601   0.0079   0.0008   0.0001   0.0000
    8.9000   0.5399  -1.3257   2.9362   1.2722   0.3824   0.0629   0.0083   0.0009   0.0001   0.0000
    8.9500   0.5288  -1.3338   2.9348   1.2761   0.3936   0.0658   0.0088   0.0009   0.0001   0.0000
    9.0000   0.5177  -1.3420   2.9334   1.2798   0.4047   0.0688   0.0093   0.0010   0.0001   0.0000
    9.0500   0.5065  -1.3503   2.9318   1.2832   0.4160   0.0719   0.0099   0.0011   0.0001   0.0000
    9.1000   0.4954  -1.3586   2.9300   1.2865   0.4272   0.0751   0.0104   0.0012   0.0001   0.0000
    9.1500   0.4842  -1.3669   2.9281   1.2897   0.4385   0.0784   0.0110   0.0012   0.0001   0.0000
