    711    12   257     datakind beginning-row linenumbers
 ----------------------------------------------------------------
                     David A. Shirley's group
               Pennsylvania State University (PSU)
           Lawrence Berkeley National Laboratory (LBNL)
      Copyright (c) 1995-1996 DAS group. All rights reserved
 ----------------------------------------------------------------

         1              1 phase shift data

         k   p(l=0)   p(l=1)   p(l=2)   p(l=3)   p(l=4)   p(l=5)   p(l=6)   p(l=7)  p(l=08)  p(l=09)
    9.2000   0.4730  -1.3753   2.9260   1.2927   0.4497   0.0818   0.0117   0.0013   0.0001   0.0000
    9.2500   0.4618  -1.3837   2.9239   1.2956   0.4610   0.0853   0.0123   0.0014   0.0001   0.0000
    9.3000   0.4507  -1.3921   2.9215   1.2983   0.4722   0.0890   0.0130   0.0015   0.0001   0.0000
    9.3500   0.4395  -1.4006   2.9191   1.3009   0.4833   0.0927   0.0137   0.0016   0.0002   0.0000
    9.4000   0.4283  -1.4091   2.9166   1.3035   0.4944   0.0966   0.0144   0.0017   0.0002   0.0000
    9.4500   0.4171  -1.4177   2.9139   1.3060   0.5054   0.1006   0.0152   0.0018   0.0002   0.0000
    9.5000   0.4059  -1.4263   2.9111   1.3083   0.5163   0.1046   0.0160   0.0020   0.0002   0.0000
    9.5500   0.3947  -1.4349   2.9082   1.3107   0.5272   0.1089   0.0169   0.0021   0.0002   0.0000
    9.6000   0.3836  -1.4435   2.9052   1.3129   0.5379   0.1132   0.0177   0.0022   0.0002   0.0000
    9.6500   0.3724  -1.4522   2.9022   1.3151   0.5484   0.1176   0.0187   0.0024   0.0002   0.0000
    9.7000   0.3612  -1.4609   2.8990   1.3173   0.5589   0.1222   0.0196   0.0025   0.0003   0.0000
    9.7500   0.3500  -1.4696   2.8957   1.3195   0.5690   0.1268   0.0206   0.0027   0.0003   0.0000
    9.8000   0.3389  -1.4783   2.8924   1.3216   0.5791   0.1316   0.0216   0.0028   0.0003   0.0000
    9.8500   0.3278  -1.4870   2.8890   1.3238   0.5891   0.1365   0.0227   0.0030   0.0003   0.0000
    9.9000   0.3166  -1.4958   2.8855   1.3259   0.5989   0.1415   0.0238   0.0032   0.0003   0.0000
    9.9500   0.3055  -1.5046   2.8819   1.3280   0.6084   0.1466   0.0250   0.0034   0.0004   0.0000
   10.0000   0.2944  -1.5133   2.8783   1.3302   0.6178   0.1519   0.0262   0.0036   0.0004   0.0000
   10.0500   0.2833  -1.5221   2.8746   1.3323   0.6270   0.1573   0.0275   0.0038   0.0004   0.0000
   10.1000   0.2723  -1.5309   2.8709   1.3345   0.6360   0.1628   0.0288   0.0040   0.0005   0.0000
   10.1500   0.2612  -1.5397   2.8671   1.3368   0.6448   0.1684   0.0301   0.0043   0.0005   0.0000
   10.2000   0.2502  -1.5485   2.8633   1.3390   0.6533   0.1741   0.0315   0.0045   0.0005   0.0000
   10.2500   0.2392  -1.5572   2.8595   1.3413   0.6617   0.1799   0.0330   0.0048   0.0006   0.0001
   10.3000   0.2282  -1.5660   2.8556   1.3437   0.6698   0.1859   0.0345   0.0051   0.0006   0.0001
   10.3500   0.2173  -1.5748   2.8516   1.3461   0.6777   0.1919   0.0361   0.0054   0.0006   0.0001
   10.4000   0.2064  -1.5836   2.8477   1.3486   0.6853   0.1980   0.0377   0.0057   0.0007   0.0001
   10.4500   0.1955  -1.5923   2.8437   1.3511   0.6928   0.2042   0.0394   0.0060   0.0007   0.0001
   10.5000   0.1846  -1.6011   2.8398   1.3537   0.7000   0.2106   0.0411   0.0063   0.0008   0.0001
   10.5500   0.1738  -1.6098   2.8358   1.3564   0.7069   0.2170   0.0429   0.0067   0.0008   0.0001
   10.6000   0.1630  -1.6185   2.8318   1.3591   0.7137   0.2235   0.0448   0.0070   0.0009   0.0001
   10.6500   0.1522  -1.6272   2.8278   1.3619   0.7202   0.2301   0.0467   0.0074   0.0009   0.0001
   10.7000   0.1415  -1.6359   2.8237   1.3648   0.7265   0.2367   0.0487   0.0078   0.0010   0.0001
   10.7500   0.1308  -1.6445   2.8197   1.3678   0.7326   0.2435   0.0508   0.0082   0.0011   0.0001
   10.8000   0.1202  -1.6531   2.8158   1.3709   0.7385   0.2503   0.0529   0.0086   0.0011   0.0001
   10.8500   0.1096  -1.6617   2.8118   1.3740   0.7441   0.2571   0.0551   0.0091   0.0012   0.0001
   10.9000   0.0990  -1.6703   2.8078   1.3772   0.7495   0.2640   0.0573   0.0096   0.0013   0.0001
   10.9500   0.0885  -1.6788   2.8039   1.3805   0.7548   0.2710   0.0596   0.0101   0.0014   0.0001
   11.0000   0.0780  -1.6873   2.7999   1.3839   0.7598   0.2780   0.0620   0.0106   0.0014   0.0002
   11.0500   0.0676  -1.6958   2.7960   1.3874   0.7646   0.2851   0.0645   0.0111   0.0015   0.0002
   11.1000   0.0572  -1.7042   2.7922   1.3909   0.7693   0.2922   0.0670   0.0117   0.0016   0.0002
   11.1500   0.0468  -1.7126   2.7883   1.3946   0.7737   0.2993   0.0696   0.0123   0.0017   0.0002
   11.2000   0.0365  -1.7210   2.7845   1.3983   0.7780   0.3065   0.0723   0.0129   0.0018   0.0002
   11.2500   0.0263  -1.7293   2.7808   1.4021   0.7820   0.3136   0.0751   0.0135   0.0019   0.0002
   11.3000   0.0161  -1.7376   2.7771   1.4060   0.7860   0.3208   0.0779   0.0142   0.0021   0.0002
   11.3500   0.0060  -1.7458   2.7734   1.4099   0.7897   0.3279   0.0808   0.0149   0.0022   0.0003
   11.4000  -0.0041  -1.7540   2.7698   1.4139   0.7933   0.3351   0.0838   0.0156   0.0023   0.0003
   11.4500  -0.0141  -1.7621   2.7662   1.4180   0.7967   0.3423   0.0868   0.0163   0.0024   0.0003
   11.5000  -0.0241  -1.7702   2.7627   1.4221   0.8000   0.3494   0.0900   0.0171   0.0026   0.0003
   11.5500  -0.0340  -1.7782   2.7592   1.4263   0.8031   0.3565   0.0932   0.0179   0.0027   0.0003
   11.6000  -0.0439  -1.7862   2.7558   1.4306   0.8061   0.3636   0.0964   0.0187   0.0029   0.0004
   11.6500  -0.0537  -1.7941   2.7525   1.4349   0.8090   0.3706   0.0998   0.0196   0.0030   0.0004
   11.7000  -0.0634  -1.8019   2.7492   1.4392   0.8117   0.3776   0.1032   0.0205   0.0032   0.0004
   11.7500  -0.0731  -1.8097   2.7460   1.4436   0.8143   0.3845   0.1068   0.0214   0.0034   0.0004
   11.8000  -0.0827  -1.8175   2.7428   1.4480   0.8168   0.3914   0.1103   0.0224   0.0036   0.0005
   11.8500  -0.0922  -1.8251   2.7397   1.4525   0.8192   0.3983   0.1140   0.0234   0.0038   0.0005
   11.9000  -0.1017  -1.8328   2.7367   1.4569   0.8215   0.4050   0.1177   0.0244   0.0040   0.0005
   11.9500  -0.1111  -1.8403   2.7337   1.4614   0.8238   0.4117   0.1216   0.0255   0.0042   0.0006
   12.0000  -0.1205  -1.8478   2.7309   1.4659   0.8259   0.4183   0.1254   0.0266   0.0044   0.0006
   12.0500  -0.1298  -1.8552   2.7280   1.4704   0.8279   0.4248   0.1294   0.0277   0.0047   0.0006
   12.1000  -0.1390  -1.8626   2.7253   1.4749   0.8299   0.4312   0.1334   0.0289   0.0049   0.0007
   12.1500  -0.1481  -1.8699   2.7226   1.4794   0.8317   0.4376   0.1375   0.0301   0.0052   0.0007
   12.2000  -0.1572  -1.8771   2.7200   1.4839   0.8336   0.4438   0.1417   0.0314   0.0054   0.0008
   12.2500  -0.1662  -1.8843   2.7175   1.4884   0.8353   0.4500   0.1460   0.0327   0.0057   0.0008
   12.3000  -0.1752  -1.8914   2.7151   1.4928   0.8370   0.4560   0.1503   0.0340   0.0060   0.0009
   12.3500  -0.1841  -1.8984   2.7127   1.4972   0.8387   0.4619   0.1546   0.0354   0.0063   0.0009
   12.4000  -0.1929  -1.9054   2.7104   1.5016   0.8403   0.4677   0.1591   0.0368   0.0066   0.0010
   12.4500  -0.2016  -1.9122   2.7082   1.5059   0.8419   0.4734   0.1636   0.0383   0.0070   0.0010
   12.5000  -0.2103  -1.9190   2.7060   1.5101   0.8434   0.4790   0.1681   0.0398   0.0073   0.0011
   12.5500  -0.2189  -1.9258   2.7040   1.5144   0.8449   0.4844   0.1727   0.0414   0.0077   0.0011
   12.6000  -0.2274  -1.9325   2.7020   1.5185   0.8464   0.4898   0.1774   0.0430   0.0081   0.0012
   12.6500  -0.2359  -1.9391   2.7000   1.5226   0.8479   0.4950   0.1821   0.0447   0.0085   0.0013
   12.7000  -0.2443  -1.9456   2.6982   1.5266   0.8493   0.5001   0.1869   0.0464   0.0089   0.0014
   12.7500  -0.2526  -1.9520   2.6964   1.5305   0.8508   0.5050   0.1917   0.0482   0.0093   0.0014
   12.8000  -0.2609  -1.9584   2.6946   1.5344   0.8523   0.5098   0.1966   0.0500   0.0097   0.0015
   12.8500  -0.2691  -1.9647   2.6930   1.5382   0.8537   0.5145   0.2015   0.0518   0.0102   0.0016
   12.9000  -0.2772  -1.9710   2.6914   1.5418   0.8552   0.5191   0.2064   0.0537   0.0107   0.0017
   12.9500  -0.2852  -1.9772   2.6898   1.5454   0.8566   0.5235   0.2114   0.0557   0.0112   0.0018
   13.0000  -0.2932  -1.9833   2.6883   1.5489   0.8581   0.5278   0.2164   0.0577   0.0117   0.0019
   13.0500  -0.3011  -1.9893   2.6869   1.5523   0.8596   0.5320   0.2214   0.0598   0.0122   0.0020
   13.1000  -0.3090  -1.9953   2.6855   1.5556   0.8611   0.5361   0.2265   0.0619   0.0128   0.0021
   13.1500  -0.3168  -2.0012   2.6842   1.5588   0.8627   0.5400   0.2316   0.0641   0.0134   0.0022
   13.2000  -0.3245  -2.0070   2.6830   1.5619   0.8643   0.5438   0.2366   0.0663   0.0140   0.0023
   13.2500  -0.3321  -2.0128   2.6817   1.5649   0.8659   0.5475   0.2418   0.0686   0.0146   0.0025
   13.3000  -0.3397  -2.0185   2.6806   1.5677   0.8675   0.5510   0.2469   0.0709   0.0152   0.0026
   13.3500  -0.3472  -2.0241   2.6794   1.5705   0.8692   0.5544   0.2520   0.0733   0.0159   0.0027
   13.4000  -0.3547  -2.0297   2.6783   1.5731   0.8709   0.5577   0.2571   0.0757   0.0166   0.0029
   13.4500  -0.3621  -2.0352   2.6773   1.5757   0.8727   0.5609   0.2623   0.0782   0.0173   0.0030
   13.5000  -0.3694  -2.0407   2.6763   1.5781   0.8745   0.5640   0.2674   0.0808   0.0180   0.0032
   13.5500  -0.3767  -2.0461   2.6753   1.5804   0.8763   0.5669   0.2725   0.0834   0.0188   0.0034
   13.6000  -0.3839  -2.0514   2.6743   1.5826   0.8783   0.5698   0.2776   0.0860   0.0196   0.0035
   13.6500  -0.3911  -2.0567   2.6733   1.5847   0.8802   0.5725   0.2827   0.0887   0.0204   0.0037
   13.7000  -0.3982  -2.0619   2.6724   1.5866   0.8822   0.5752   0.2877   0.0915   0.0213   0.0039
   13.7500  -0.4053  -2.0671   2.6715   1.5885   0.8843   0.5777   0.2928   0.0943   0.0221   0.0041
   13.8000  -0.4123  -2.0723   2.6706   1.5902   0.8864   0.5801   0.2978   0.0972   0.0230   0.0043
   13.8500  -0.4192  -2.0773   2.6697   1.5919   0.8886   0.5824   0.3027   0.1001   0.0240   0.0045
   13.9000  -0.4261  -2.0824   2.6688   1.5934   0.8909   0.5847   0.3077   0.1031   0.0249   0.0047
   13.9500  -0.4330  -2.0874   2.6679   1.5949   0.8932   0.5868   0.3126   0.1061   0.0259   0.0050
   14.0000  -0.4398  -2.0923   2.6670   1.5962   0.8955   0.5889   0.3174   0.1092   0.0269   0.0052
   14.0500  -0.4465  -2.0972   2.6661   1.5974   0.8980   0.5909   0.3223   0.1123   0.0280   0.0055
   14.1000  -0.4532  -2.1021   2.6652   1.5986   0.9004   0.5927   0.3270   0.1155   0.0291   0.0057
   14.1500  -0.4599  -2.1069   2.6643   1.5996   0.9030   0.5945   0.3317   0.1187   0.0302   0.0060
   14.2000  -0.4665  -2.1117   2.6634   1.6006   0.9056   0.5963   0.3364   0.1220   0.0313   0.0063
   14.2500  -0.4731  -2.1165   2.6625   1.6014   0.9082   0.5980   0.3410   0.1253   0.0325   0.0066
   14.3000  -0.4797  -2.1212   2.6615   1.6022   0.9110   0.5995   0.3455   0.1287   0.0337   0.0069
   14.3500  -0.4862  -2.1259   2.6606   1.6029   0.9137   0.6011   0.3500   0.1321   0.0350   0.0072
   14.4000  -0.4927  -2.1306   2.6596   1.6035   0.9166   0.6026   0.3544   0.1355   0.0363   0.0076
   14.4500  -0.4992  -2.1353   2.6585   1.6040   0.9194   0.6040   0.3587   0.1390   0.0376   0.0079
   14.5000  -0.5056  -2.1399   2.6575   1.6045   0.9224   0.6053   0.3630   0.1425   0.0390   0.0083
   14.5500  -0.5120  -2.1445   2.6564   1.6049   0.9254   0.6066   0.3672   0.1461   0.0404   0.0086
   14.6000  -0.5184  -2.1491   2.6553   1.6052   0.9284   0.6079   0.3713   0.1497   0.0418   0.0090
   14.6500  -0.5247  -2.1537   2.6541   1.6055   0.9315   0.6091   0.3753   0.1534   0.0433   0.0094
   14.7000  -0.5311  -2.1583   2.6529   1.6057   0.9346   0.6103   0.3793   0.1570   0.0448   0.0098
   14.7500  -0.5374  -2.1628   2.6517   1.6058   0.9378   0.6114   0.3832   0.1608   0.0463   0.0103
   14.8000  -0.5437  -2.1674   2.6504   1.6059   0.9410   0.6126   0.3870   0.1645   0.0479   0.0107
   14.8500  -0.5499  -2.1719   2.6491   1.6059   0.9442   0.6136   0.3907   0.1683   0.0495   0.0112
   14.9000  -0.5562  -2.1765   2.6477   1.6059   0.9475   0.6147   0.3943   0.1720   0.0512   0.0117
   14.9500  -0.5624  -2.1810   2.6463   1.6059   0.9508   0.6157   0.3979   0.1759   0.0529   0.0122
   15.0000  -0.5687  -2.1855   2.6449   1.6058   0.9541   0.6167   0.4013   0.1797   0.0547   0.0127
   15.0500  -0.5749  -2.1901   2.6434   1.6057   0.9574   0.6177   0.4047   0.1835   0.0564   0.0132
   15.1000  -0.5811  -2.1946   2.6418   1.6055   0.9608   0.6187   0.4080   0.1874   0.0583   0.0138
   15.1500  -0.5873  -2.1991   2.6402   1.6054   0.9641   0.6197   0.4112   0.1913   0.0601   0.0143
   15.2000  -0.5935  -2.2037   2.6386   1.6052   0.9675   0.6207   0.4143   0.1952   0.0621   0.0149
   15.2500  -0.5997  -2.2082   2.6369   1.6049   0.9709   0.6216   0.4173   0.1991   0.0640   0.0155
   15.3000  -0.6059  -2.2128   2.6351   1.6047   0.9743   0.6226   0.4203   0.2030   0.0660   0.0161
   15.3500  -0.6120  -2.2174   2.6333   1.6045   0.9777   0.6236   0.4231   0.2069   0.0680   0.0168
   15.4000  -0.6182  -2.2220   2.6315   1.6042   0.9811   0.6245   0.4259   0.2108   0.0701   0.0175
   15.4500  -0.6244  -2.2266   2.6296   1.6039   0.9845   0.6255   0.4286   0.2148   0.0722   0.0182
   15.5000  -0.6306  -2.2312   2.6277   1.6037   0.9878   0.6265   0.4312   0.2187   0.0744   0.0189
   15.5500  -0.6368  -2.2358   2.6257   1.6034   0.9912   0.6275   0.4337   0.2226   0.0765   0.0196
   15.6000  -0.6430  -2.2404   2.6236   1.6031   0.9945   0.6286   0.4361   0.2265   0.0788   0.0204
   15.6500  -0.6492  -2.2451   2.6215   1.6028   0.9978   0.6296   0.4385   0.2304   0.0811   0.0211
   15.7000  -0.6554  -2.2498   2.6194   1.6026   1.0011   0.6307   0.4407   0.2342   0.0834   0.0219
   15.7500  -0.6616  -2.2545   2.6172   1.6023   1.0043   0.6318   0.4429   0.2381   0.0857   0.0228
   15.8000  -0.6679  -2.2592   2.6150   1.6021   1.0075   0.6329   0.4450   0.2420   0.0881   0.0236
   15.8500  -0.6741  -2.2639   2.6127   1.6019   1.0107   0.6340   0.4471   0.2458   0.0905   0.0245
   15.9000  -0.6803  -2.2687   2.6104   1.6017   1.0139   0.6352   0.4490   0.2496   0.0930   0.0254
   15.9500  -0.6866  -2.2735   2.6081   1.6015   1.0169   0.6364   0.4509   0.2533   0.0955   0.0263
   16.0000  -0.6929  -2.2783   2.6057   1.6014   1.0200   0.6376   0.4527   0.2571   0.0981   0.0273
   16.0500  -0.6992  -2.2831   2.6032   1.6012   1.0230   0.6389   0.4545   0.2608   0.1006   0.0283
   16.1000  -0.7054  -2.2879   2.6008   1.6011   1.0259   0.6402   0.4561   0.2645   0.1033   0.0293
   16.1500  -0.7118  -2.2928   2.5983   1.6011   1.0288   0.6416   0.4577   0.2681   0.1059   0.0303
   16.2000  -0.7181  -2.2977   2.5957   1.6010   1.0316   0.6430   0.4593   0.2717   0.1086   0.0314
   16.2500  -0.7244  -2.3026   2.5932   1.6010   1.0344   0.6444   0.4608   0.2753   0.1113   0.0325
   16.3000  -0.7308  -2.3075   2.5906   1.6010   1.0371   0.6459   0.4622   0.2788   0.1140   0.0336
   16.3500  -0.7371  -2.3125   2.5879   1.6011   1.0397   0.6474   0.4636   0.2823   0.1168   0.0347
   16.4000  -0.7435  -2.3175   2.5853   1.6012   1.0423   0.6490   0.4649   0.2857   0.1196   0.0359
   16.4500  -0.7499  -2.3225   2.5826   1.6013   1.0448   0.6506   0.4661   0.2891   0.1225   0.0371
   16.5000  -0.7563  -2.3275   2.5799   1.6015   1.0472   0.6522   0.4673   0.2925   0.1253   0.0383
   16.5500  -0.7627  -2.3325   2.5772   1.6017   1.0496   0.6539   0.4685   0.2958   0.1282   0.0396
   16.6000  -0.7691  -2.3376   2.5745   1.6020   1.0519   0.6557   0.4696   0.2990   0.1312   0.0409
   16.6500  -0.7756  -2.3427   2.5717   1.6023   1.0541   0.6574   0.4706   0.3022   0.1341   0.0422
   16.7000  -0.7820  -2.3478   2.5689   1.6026   1.0563   0.6593   0.4717   0.3053   0.1371   0.0436
   16.7500  -0.7885  -2.3529   2.5662   1.6030   1.0584   0.6612   0.4726   0.3084   0.1401   0.0450
