    711    12   257     datakind beginning-row linenumbers
 ----------------------------------------------------------------
                     David A. Shirley's group
               Pennsylvania State University (PSU)
           Lawrence Berkeley National Laboratory (LBNL)
      Copyright (c) 1995-1996 DAS group. All rights reserved
 ----------------------------------------------------------------

         1              1 phase shift data

         k   p(l=0)   p(l=1)   p(l=2)   p(l=3)   p(l=4)   p(l=5)   p(l=6)   p(l=7)  p(l=08)  p(l=09)
        10              lnum
    7.5500   2.7577   0.7712  -1.5618   2.2051   0.3298   0.0281   0.0024   0.0002   0.0000   0.0000
    7.6000   2.7445   0.7593  -1.5702   2.2055   0.3469   0.0298   0.0026   0.0002   0.0000   0.0000
    7.6500   2.7314   0.7476  -1.5785   2.2059   0.3647   0.0316   0.0028   0.0002   0.0000   0.0000
    7.7000   2.7185   0.7359  -1.5867   2.2062   0.3830   0.0336   0.0030   0.0002   0.0000   0.0000
    7.7500   2.7057   0.7245  -1.5948   2.2066   0.4020   0.0356   0.0033   0.0002   0.0000   0.0000
    7.8000   2.6930   0.7131  -1.6027   2.2070   0.4215   0.0377   0.0035   0.0003   0.0000   0.0000
    7.8500   2.6804   0.7019  -1.6106   2.2073   0.4416   0.0400   0.0037   0.0003   0.0000   0.0000
    7.9000   2.6679   0.6908  -1.6184   2.2078   0.4623   0.0423   0.0040   0.0003   0.0000   0.0000
    7.9500   2.6556   0.6798  -1.6260   2.2083   0.4835   0.0448   0.0043   0.0003   0.0000   0.0000
    8.0000   2.6434   0.6690  -1.6335   2.2088   0.5051   0.0474   0.0046   0.0004   0.0000   0.0000
    8.0500   2.6313   0.6583  -1.6409   2.2095   0.5272   0.0501   0.0049   0.0004   0.0000   0.0000
    8.1000   2.6194   0.6477  -1.6481   2.2102   0.5498   0.0530   0.0053   0.0004   0.0000   0.0000
    8.1500   2.6075   0.6373  -1.6553   2.2110   0.5727   0.0560   0.0056   0.0005   0.0000   0.0000
    8.2000   2.5958   0.6270  -1.6623   2.2119   0.5958   0.0591   0.0060   0.0005   0.0000   0.0000
    8.2500   2.5842   0.6168  -1.6691   2.2129   0.6193   0.0624   0.0064   0.0006   0.0000   0.0000
    8.3000   2.5727   0.6067  -1.6759   2.2141   0.6429   0.0658   0.0068   0.0006   0.0000   0.0000
    8.3500   2.5613   0.5968  -1.6825   2.2153   0.6667   0.0694   0.0073   0.0006   0.0000   0.0000
    8.4000   2.5500   0.5869  -1.6890   2.2168   0.6906   0.0731   0.0078   0.0007   0.0001   0.0000
    8.4500   2.5388   0.5773  -1.6953   2.2183   0.7144   0.0770   0.0083   0.0008   0.0001   0.0000
    8.5000   2.5278   0.5677  -1.7015   2.2201   0.7382   0.0811   0.0088   0.0008   0.0001   0.0000
    8.5500   2.5168   0.5582  -1.7075   2.2220   0.7619   0.0854   0.0094   0.0009   0.0001   0.0000
    8.6000   2.5059   0.5489  -1.7135   2.2240   0.7854   0.0898   0.0100   0.0009   0.0001   0.0000
    8.6500   2.4951   0.5397  -1.7192   2.2262   0.8087   0.0945   0.0106   0.0010   0.0001   0.0000
    8.7000   2.4845   0.5305  -1.7249   2.2286   0.8317   0.0993   0.0112   0.0011   0.0001   0.0000
    8.7500   2.4739   0.5215  -1.7304   2.2312   0.8543   0.1043   0.0119   0.0012   0.0001   0.0000
    8.8000   2.4634   0.5127  -1.7357   2.2340   0.8765   0.1095   0.0127   0.0013   0.0001   0.0000
    8.8500   2.4530   0.5039  -1.7410   2.2370   0.8983   0.1150   0.0134   0.0014   0.0001   0.0000
    8.9000   2.4426   0.4952  -1.7461   2.2401   0.9196   0.1206   0.0142   0.0014   0.0001   0.0000
    8.9500   2.4324   0.4866  -1.7510   2.2435   0.9403   0.1265   0.0151   0.0016   0.0001   0.0000
    9.0000   2.4222   0.4782  -1.7558   2.2470   0.9605   0.1326   0.0160   0.0017   0.0001   0.0000
    9.0500   2.4121   0.4698  -1.7605   2.2508   0.9802   0.1390   0.0169   0.0018   0.0002   0.0000
    9.1000   2.4021   0.4615  -1.7650   2.2547   0.9992   0.1455   0.0179   0.0019   0.0002   0.0000
    9.1500   2.3921   0.4533  -1.7694   2.2589   1.0176   0.1523   0.0189   0.0020   0.0002   0.0000
    9.2000   2.3822   0.4452  -1.7737   2.2632   1.0353   0.1594   0.0200   0.0022   0.0002   0.0000
    9.2500   2.3724   0.4372  -1.7778   2.2677   1.0524   0.1667   0.0212   0.0023   0.0002   0.0000
    9.3000   2.3626   0.4293  -1.7819   2.2725   1.0689   0.1742   0.0224   0.0025   0.0002   0.0000
    9.3500   2.3529   0.4214  -1.7858   2.2774   1.0847   0.1820   0.0236   0.0027   0.0002   0.0000
    9.4000   2.3433   0.4136  -1.7895   2.2825   1.0999   0.1901   0.0249   0.0028   0.0003   0.0000
    9.4500   2.3337   0.4059  -1.7932   2.2877   1.1144   0.1984   0.0263   0.0030   0.0003   0.0000
    9.5000   2.3241   0.3983  -1.7967   2.2932   1.1283   0.2070   0.0277   0.0032   0.0003   0.0000
    9.5500   2.3146   0.3907  -1.8001   2.2988   1.1416   0.2159   0.0292   0.0034   0.0003   0.0000
    9.6000   2.3051   0.3832  -1.8035   2.3046   1.1543   0.2250   0.0308   0.0037   0.0004   0.0000
    9.6500   2.2957   0.3758  -1.8067   2.3105   1.1663   0.2343   0.0324   0.0039   0.0004   0.0000
    9.7000   2.2862   0.3684  -1.8098   2.3165   1.1778   0.2440   0.0341   0.0041   0.0004   0.0000
    9.7500   2.2769   0.3611  -1.8128   2.3227   1.1887   0.2539   0.0359   0.0044   0.0004   0.0000
    9.8000   2.2675   0.3538  -1.8157   2.3290   1.1991   0.2640   0.0378   0.0047   0.0005   0.0000
    9.8500   2.2582   0.3465  -1.8186   2.3354   1.2089   0.2744   0.0397   0.0050   0.0005   0.0000
    9.9000   2.2489   0.3393  -1.8213   2.3420   1.2182   0.2851   0.0417   0.0053   0.0006   0.0000
    9.9500   2.2396   0.3321  -1.8240   2.3486   1.2270   0.2960   0.0438   0.0056   0.0006   0.0001
   10.0000   2.2304   0.3250  -1.8266   2.3552   1.2354   0.3071   0.0460   0.0060   0.0006   0.0001
