   223    26     0     datakind beginning-row multi-curves
-----------------------------------------------------------------
Calculation of photoelectron diffraction and dichroism
MSCD Parallel  Version 1.37 Yufeng Chen and Michel A Van Hove
Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA 94720
Copyright (c) Van Hove Group 1997-1998. All rights reserved
-----------------------------------------------------------------
 angle-resolved photoemission extended fine structure (ARPEFS)
 multiple scattering calculation of Ga2O3(100)
 calculated by Yosef (UFJ-PPGCAS) on Feb 27, 2026

   initial angular momentum (li) = 0   msorder=  6   raorder= 4
   photon polarization angle (polar,azimuth) =(   0.0   0.0 ) (deg)

   radius, depth and lattice constant=  10.0,  11.0 and   3.04 angstrom
   cluster size= 187 atoms and spacings=  1.75  0.00  0.36  1.28 angs
   inner potential=  4.0 V  debye and sample temperature= 237, 300 K
   number of valence electrons=  24     bandgap energy=   4.70 eV
   density of bulk=   5.88 g/cm3     molecular weight= 187.44 amu
   effective weight for kind 1-2 =   16.0   69.7 amu
   half aperture angle=    3.0 deg            pathcut=     0.0010

   photoemission azimuthal scan curves
     parameters: curve point theta phi weightc weighte
     columns: phi intensity background chical chiexp
    10  1200    1   10  120 1200  ncurve npoint nk ntheta nphi nangle
   1   120  15.82   30.0    1.0    0.0   ----------------------------
  203.5    2.4563e+00    3.1249e+00   -2.1394e-01   -7.8055e-02
  206.5    2.4838e+00    3.1249e+00   -2.0514e-01   -7.6351e-02
  209.5    2.6396e+00    3.1249e+00   -1.5529e-01   -8.7337e-02
  212.5    2.7865e+00    3.1249e+00   -1.0828e-01   -9.1148e-02
  215.5    2.8755e+00    3.1249e+00   -7.9807e-02   -8.1314e-02
  218.5    2.9398e+00    3.1249e+00   -5.9222e-02   -5.6700e-02
  221.5    3.0818e+00    3.1249e+00   -1.3779e-02   -2.3083e-02
  224.5    3.1467e+00    3.1249e+00    6.9721e-03    1.6600e-03
  227.5    3.2024e+00    3.1249e+00    2.4807e-02    1.8323e-02
  230.5    3.2288e+00    3.1249e+00    3.3249e-02    1.2506e-02
  233.5    3.1286e+00    3.1249e+00    1.1965e-03   -4.5620e-03
  236.5    2.9676e+00    3.1249e+00   -5.0329e-02   -2.9965e-02
  239.5    2.6791e+00    3.1249e+00   -1.4266e-01   -4.4172e-02
  242.5    2.4296e+00    3.1249e+00   -2.2248e-01   -4.5849e-02
  245.5    2.3844e+00    3.1249e+00   -2.3697e-01   -3.4435e-02
  248.5    2.3813e+00    3.1249e+00   -2.3794e-01   -1.9596e-02
  251.5    2.5757e+00    3.1249e+00   -1.7575e-01   -6.7359e-03
  254.5    2.9262e+00    3.1249e+00   -6.3586e-02    7.2025e-03
  257.5    3.3029e+00    3.1249e+00    5.6968e-02    2.6838e-02
  260.5    3.6216e+00    3.1249e+00    1.5897e-01    6.2877e-02
  263.5    3.8344e+00    3.1249e+00    2.2705e-01    1.1053e-01
  266.5    3.9636e+00    3.1249e+00    2.6840e-01    1.4540e-01
  269.5    4.0085e+00    3.1249e+00    2.8276e-01    1.5625e-01
  272.5    3.8869e+00    3.1249e+00    2.4385e-01    1.4761e-01
  275.5    3.6008e+00    3.1249e+00    1.5232e-01    1.3318e-01
  278.5    3.1952e+00    3.1249e+00    2.2492e-02    7.6059e-02
  281.5    2.9028e+00    3.1249e+00   -7.1067e-02    3.5218e-02
  284.5    2.5812e+00    3.1249e+00   -1.7398e-01   -1.4038e-02
  287.5    2.4795e+00    3.1249e+00   -2.0652e-01   -1.7085e-02
  290.5    2.4736e+00    3.1249e+00   -2.0842e-01   -4.0265e-02
  293.5    2.5688e+00    3.1249e+00   -1.7795e-01   -6.5796e-02
  296.5    2.6864e+00    3.1249e+00   -1.4032e-01   -1.0371e-01
  299.5    2.7429e+00    3.1249e+00   -1.2222e-01   -1.1083e-01
  302.5    2.9141e+00    3.1249e+00   -6.7457e-02   -9.4990e-02
  305.5    3.1020e+00    3.1249e+00   -7.3189e-03   -5.4152e-02
  308.5    3.1787e+00    3.1249e+00    1.7232e-02    1.5154e-02
  311.5    3.2114e+00    3.1249e+00    2.7697e-02    2.1197e-02
  314.5    3.2731e+00    3.1249e+00    4.7423e-02    1.8032e-02
  317.5    3.3093e+00    3.1249e+00    5.9027e-02    1.1580e-02
  320.5    3.1705e+00    3.1249e+00    1.4605e-02   -1.7601e-02
  323.5    2.9670e+00    3.1249e+00   -5.0513e-02   -4.3236e-02
  326.5    2.7648e+00    3.1249e+00   -1.1521e-01   -4.9113e-02
  329.5    2.6191e+00    3.1249e+00   -1.6185e-01   -4.4945e-02
  332.5    2.5674e+00    3.1249e+00   -1.7840e-01   -3.2472e-02
  335.5    2.4927e+00    3.1249e+00   -2.0231e-01   -4.2738e-02
  338.5    2.5090e+00    3.1249e+00   -1.9709e-01   -5.0956e-02
  341.5    2.6994e+00    3.1249e+00   -1.3617e-01   -5.7035e-02
  344.5    3.0193e+00    3.1249e+00   -3.3789e-02   -2.9778e-02
  347.5    3.5135e+00    3.1249e+00    1.2437e-01    2.7789e-02
  350.5    3.8562e+00    3.1249e+00    2.3403e-01    8.4118e-02
  353.5    3.9665e+00    3.1249e+00    2.6932e-01    1.0643e-01
  356.5    3.9354e+00    3.1249e+00    2.5938e-01    9.4871e-02
  359.5    3.8690e+00    3.1249e+00    2.3812e-01    8.1013e-02
   2   120  15.82   33.0    1.0    0.0   ----------------------------
    2.5    4.1642e+00    3.3519e+00    2.4232e-01    1.9795e-02
    5.5    4.3277e+00    3.3519e+00    2.9113e-01    6.8721e-02
    8.5    4.3644e+00    3.3519e+00    3.0207e-01    8.6441e-02
   11.5    4.1694e+00    3.3519e+00    2.4390e-01    6.9374e-02
   14.5    3.6171e+00    3.3519e+00    7.9130e-02    2.5392e-02
   17.5    3.0934e+00    3.3519e+00   -7.7133e-02   -2.9918e-03
   20.5    2.7851e+00    3.3519e+00   -1.6910e-01   -1.9975e-02
   23.5    2.6837e+00    3.3519e+00   -1.9935e-01   -3.7602e-02
   26.5    2.7940e+00    3.3519e+00   -1.6645e-01   -5.7280e-02
   29.5    2.8467e+00    3.3519e+00   -1.5071e-01   -7.9958e-02
   32.5    2.9618e+00    3.3519e+00   -1.1637e-01   -8.0483e-02
   35.5    3.0872e+00    3.3519e+00   -7.8970e-02   -6.5392e-02
   38.5    3.2723e+00    3.3519e+00   -2.3741e-02   -4.0800e-02
   41.5    3.4037e+00    3.3519e+00    1.5461e-02   -2.8692e-02
   44.5    3.3541e+00    3.3519e+00    6.6710e-04   -2.2406e-02
   47.5    3.2921e+00    3.3519e+00   -1.7858e-02   -2.0490e-02
   50.5    3.2347e+00    3.3519e+00   -3.4968e-02   -1.7572e-02
   53.5    3.1986e+00    3.3519e+00   -4.5752e-02   -2.8306e-02
   56.5    3.1363e+00    3.3519e+00   -6.4327e-02   -4.6789e-02
   59.5    3.0665e+00    3.3519e+00   -8.5156e-02   -5.7478e-02
   62.5    2.9780e+00    3.3519e+00   -1.1156e-01   -5.0004e-02
   65.5    2.8881e+00    3.3519e+00   -1.3838e-01   -2.1764e-02
   68.5    2.8201e+00    3.3519e+00   -1.5867e-01   -2.7371e-05
   71.5    2.9096e+00    3.3519e+00   -1.3197e-01    1.9800e-02
   74.5    3.0862e+00    3.3519e+00   -7.9263e-02    2.6109e-02
   77.5    3.3663e+00    3.3519e+00    4.2930e-03    4.9371e-02
